Season,Name,Team,PA,BABIP,LD,GB,FB,IFFB,GB/FB,HR/FB,IFH,IFH,BUH,BUH,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
2007,Carlos Pena,Devil Rays,612,.297,18.0 ,37.5 ,44.5 ,8.2 ,0.84,29.1 ,4,3.0 ,1,50.0 ,19.8 ,71.1 ,43.1 ,42.5 ,78.4 ,69.4 ,45.4 ,51.8 ,12.8 ,934
2003,Gary Sheffield,Braves,678,.308,19.7 ,46.3 ,34.0 ,18.3 ,1.36,21.7 ,28,11.4 ,0,0.0 ,17.7 ,65.9 ,40.7 ,52.8 ,92.7 ,83.6 ,47.8 ,50.3 ,6.6 ,114
2004,Lance Berkman,Astros,687,.339,21.2 ,40.0 ,38.8 ,9.8 ,1.03,17.2 ,6,3.4 ,0,0.0 ,12.8 ,70.9 ,40.2 ,54.0 ,86.1 ,80.7 ,47.1 ,52.3 ,7.7 ,548
2004,J.D. Drew,Braves,645,.340,19.1 ,42.8 ,38.1 ,10.4 ,1.12,20.1 ,16,9.2 ,1,50.0 ,12.4 ,69.7 ,40.9 ,52.3 ,82.4 ,77.8 ,49.7 ,52.3 ,9.1 ,1152
2007,Matt Holliday,Rockies,713,.377,19.8 ,44.2 ,36.0 ,3.8 ,1.23,19.5 ,18,7.9 ,0,0.0 ,28.7 ,81.4 ,54.4 ,58.3 ,84.1 ,77.1 ,48.8 ,58.9 ,11.9 ,1873
2004,Larry Walker,- - -,316,.324,16.9 ,47.3 ,35.8 ,19.4 ,1.32,23.6 ,7,7.4 ,1,100.0 ,9.8 ,69.5 ,40.9 ,32.7 ,79.6 ,74.3 ,52.1 ,54.4 ,10.6 ,455
2007,Barry Bonds,Giants,477,.254,17.4 ,39.9 ,42.7 ,13.8 ,0.93,22.8 ,2,1.7 ,0,0.0 ,13.1 ,64.4 ,36.0 ,68.3 ,91.2 ,86.5 ,44.6 ,49.5 ,4.4 ,1109
2006,David Ortiz,Red Sox,686,.270,16.7 ,36.4 ,46.8 ,8.2 ,0.78,26.1 ,4,2.5 ,3,75.0 ,18.3 ,70.5 ,43.0 ,46.6 ,87.0 ,77.9 ,47.3 ,53.4 ,9.1 ,745
2006,Lance Berkman,Astros,646,.316,19.2 ,39.0 ,41.8 ,15.3 ,0.93,24.6 ,5,2.9 ,0,0.0 ,20.0 ,73.6 ,46.9 ,46.3 ,88.2 ,79.2 ,50.1 ,57.0 ,9.1 ,548
2011,Ryan Braun,Brewers,629,.350,20.9 ,41.7 ,37.4 ,5.1 ,1.11,18.8 ,23,11.7 ,0,0.0 ,31.7 ,62.7 ,44.6 ,74.6 ,88.3 ,82.6 ,41.4 ,59.6 ,7.5 ,3410
2012,David Ortiz,Red Sox,383,.316,21.5 ,36.7 ,41.8 ,7.8 ,0.88,20.0 ,1,1.0 ,1,100.0 ,27.4 ,67.0 ,43.4 ,77.4 ,89.2 ,84.7 ,40.4 ,54.6 ,6.3 ,745
2004,Frank Thomas,White Sox,311,.283,18.5 ,28.3 ,53.3 ,6.1 ,0.53,18.4 ,2,3.8 ,0,0.0 ,8.1 ,63.8 ,35.9 ,46.0 ,88.9 ,84.1 ,50.0 ,55.6 ,5.6 ,255
2002,Alex Rodriguez,Rangers,725,.290,19.0 ,38.1 ,42.9 ,10.6 ,0.89,26.4 ,16,8.3 ,0,0.0 ,17.8 ,67.0 ,43.3 ,44.6 ,80.8 ,73.7 ,51.8 ,52.7 ,11.3 ,1274
2008,Milton Bradley,Rangers,510,.388,24.7 ,41.1 ,34.2 ,7.7 ,1.20,21.2 ,9,7.2 ,2,50.0 ,20.8 ,72.5 ,45.1 ,47.5 ,83.0 ,74.3 ,47.1 ,58.2 ,11.2 ,369
2003,Carlos Delgado,Blue Jays,705,.327,27.0 ,35.0 ,38.0 ,8.4 ,0.92,25.1 ,5,3.2 ,0,0.0 ,24.1 ,67.6 ,43.5 ,47.5 ,82.0 ,71.5 ,44.7 ,56.0 ,12.2 ,1297
2004,Adrian Beltre,Dodgers,657,.325,18.6 ,41.4 ,40.0 ,14.6 ,1.03,23.3 ,13,6.1 ,0,0.0 ,20.9 ,77.5 ,51.1 ,56.1 ,85.3 ,79.8 ,53.4 ,54.3 ,10.3 ,639
2005,Travis Hafner,Indians,578,.344,20.2 ,43.1 ,36.8 ,5.2 ,1.17,24.4 ,7,4.4 ,0,0.0 ,16.9 ,71.6 ,44.0 ,34.7 ,83.1 ,73.7 ,49.5 ,52.4 ,11.2 ,1573
2004,Scott Rolen,Cardinals,593,.323,21.2 ,30.1 ,48.7 ,10.4 ,0.62,16.8 ,6,4.8 ,0,0.0 ,13.5 ,72.2 ,44.5 ,56.6 ,85.6 ,81.4 ,52.8 ,57.5 ,8.2 ,970
2005,Jason Giambi,Yankees,545,.292,19.3 ,33.0 ,47.7 ,10.3 ,0.69,21.9 ,2,2.0 ,2,66.7 ,10.2 ,60.8 ,35.6 ,46.0 ,85.8 ,80.1 ,50.2 ,53.2 ,7.2 ,818
2009,Prince Fielder,Brewers,719,.315,16.2 ,40.7 ,43.1 ,5.5 ,0.94,23.1 ,5,2.7 ,0,0.0 ,25.5 ,68.8 ,44.7 ,58.8 ,85.4 ,76.9 ,44.4 ,53.0 ,9.8 ,4613
