DATE,UNRATE,POP,PAYEMS,
1/1/79,5.9,223865,88811,
2/1/79,5.9,224053,89054,
3/1/79,5.8,224235,89480,
4/1/79,5.8,224438,89418,
5/1/79,5.6,224632,89790,
6/1/79,5.7,224843,90108,
7/1/79,5.7,225055,90214,
8/1/79,6,225295,90296,
9/1/79,5.9,225547,90323,
10/1/79,6,225801,90480,
11/1/79,5.9,226027,90574,
12/1/79,6,226243,90669,
1/1/80,6.3,226451,90800,
2/1/80,6.3,226656,90879,
3/1/80,6.3,226849,90991,
4/1/80,6.9,227061,90846,
5/1/80,7.5,227251,90415,
6/1/80,7.6,227522,90095,
7/1/80,7.8,227726,89832,
8/1/80,7.7,227953,90092,
9/1/80,7.5,228186,90205,
10/1/80,7.5,228417,90485,
11/1/80,7.5,228612,90741,
12/1/80,7.2,228779,90936,
1/1/81,7.5,228937,91031,
2/1/81,7.4,229071,91098,
3/1/81,7.4,229224,91202,
4/1/81,7.2,229403,91276,
5/1/81,7.5,229575,91286,
6/1/81,7.5,229761,91482,
7/1/81,7.2,229966,91594,
8/1/81,7.4,230187,91558,
9/1/81,7.6,230412,91471,
10/1/81,7.9,230641,91371,
11/1/81,8.3,230822,91162,
12/1/81,8.5,230989,90884,
1/1/82,8.6,231157,90557,
2/1/82,8.9,231313,90551,
3/1/82,9,231470,90422,
4/1/82,9.3,231645,90141,
5/1/82,9.4,231809,90096,
6/1/82,9.6,231992,89853,
7/1/82,9.8,232188,89510,
8/1/82,9.8,232392,89352,
9/1/82,10.1,232599,89171,
10/1/82,10.4,232816,88894,
11/1/82,10.8,232993,88770,
12/1/82,10.8,233160,88756,
1/1/83,10.4,233322,88981,
2/1/83,10.4,233473,88903,
3/1/83,10.3,233613,89076,
4/1/83,10.2,233781,89352,
5/1/83,10.1,233922,89629,
6/1/83,10.1,234118,90007,
7/1/83,9.4,234307,90425,
8/1/83,9.5,234501,90117,
9/1/83,9.2,234701,91231,
10/1/83,8.8,234907,91502,
11/1/83,8.5,235078,91854,
12/1/83,8.3,235235,92210,
1/1/84,8,235385,92657,
2/1/84,7.8,235527,93136,
3/1/84,7.8,235675,93411,
4/1/84,7.7,235839,93774,
5/1/84,7.4,235993,94082,
6/1/84,7.2,236160,94461,
7/1/84,7.5,236348,94773,
8/1/84,7.5,236549,95014,
9/1/84,7.3,236760,95325,
10/1/84,7.4,236976,95611,
11/1/84,7.2,237159,95960,
12/1/84,7.3,237316,96087,
1/1/85,7.3,237468,96353,
2/1/85,7.2,237602,96477,
3/1/85,7.2,237732,96823,
4/1/85,7.3,237900,97018,
5/1/85,7.2,238074,97292,
6/1/85,7.4,238270,97437,
7/1/85,7.4,238466,97626,
8/1/85,7.1,238679,97819,
9/1/85,7.1,238898,98023,
10/1/85,7.1,239113,98210,
11/1/85,7,239307,98419,
12/1/85,7,239477,98587,
1/1/86,6.7,239638,98710,
2/1/86,7.2,239788,98817,
3/1/86,7.2,239928,98910,
4/1/86,7.1,240094,99098,
5/1/86,7.2,240271,99223,
6/1/86,7.2,240459,99130,
7/1/86,7,240651,99448,
8/1/86,6.9,240854,99561,
9/1/86,7,241068,99907,
10/1/86,7,241274,100094,
11/1/86,6.9,241467,100280,
12/1/86,6.6,241620,100484,
1/1/87,6.6,241784,100655,
2/1/87,6.6,241930,100887,
3/1/87,6.6,242079,101136,
4/1/87,6.3,242252,101474,
5/1/87,6.3,242423,101701,
